Month,Avg. Players,Gain,% Gain,Peak Players
25-Jul,"74,145.10","-6,302.10",-7.83%,"111,052"
25-Jun,"80,447.20","29,362.10",57.48%,"141,309"
25-May,"51,085.10","-10,925.10",-17.62%,"88,409"
25-Apr,"62,010.20","-18,484.50",-22.96%,"105,998"
25-Mar,"80,494.70","20,236.20",33.58%,"145,490"
25-Feb,"60,258.50","4,242.80",7.57%,"100,940"
25-Jan,"56,015.70","8,498.10",17.88%,"95,600"
24-Dec,"47,517.60","11,753.90",32.87%,"76,821"
24-Nov,"35,763.70","-8,651.00",-19.48%,"59,030"
24-Oct,"44,414.70","-7,032.20",-13.67%,"76,108"
24-Sep,"51,446.90","1,174.60",2.34%,"91,165"
24-Aug,"50,272.30","-1,840.30",-3.53%,"75,457"
24-Jul,"52,112.60","-5,752.00",-9.94%,"73,646"
24-Jun,"57,864.50","-2,716.00",-4.48%,"88,626"
24-May,"60,580.60","-30,912.60",-33.79%,"100,331"
24-Apr,"91,493.20","-14,332.00",-13.54%,"155,546"
24-Mar,"105,825.10","48,256.10",83.82%,"200,476"
24-Feb,"57,569.10","7,293.70",14.51%,"101,985"
24-Jan,"50,275.30","8,219.80",19.55%,"83,645"
23-Dec,"42,055.60","5,241.00",14.24%,"62,190"
23-Nov,"36,814.60","-15,269.90",-29.32%,"59,597"
23-Oct,"52,084.50","-6,683.10",-11.37%,"94,953"
23-Sep,"58,767.50","6,861.10",13.22%,"95,149"
23-Aug,"51,906.40","2,474.00",5.00%,"83,901"
23-Jul,"49,432.40","4,057.50",8.94%,"70,979"
23-Jun,"45,374.90","5,033.10",12.48%,"68,292"
23-May,"40,341.80","-5,352.70",-11.71%,"66,908"
23-Apr,"45,694.50","-4,262.60",-8.53%,"79,348"
23-Mar,"49,957.20","8,313.50",19.96%,"88,146"
23-Feb,"41,643.60","-2,049.10",-4.69%,"65,006"
23-Jan,"43,692.70","4,775.20",12.27%,"66,780"
22-Dec,"38,917.40","15,447.20",65.82%,"63,872"
22-Nov,"23,470.30","-4,790.30",-16.95%,"45,282"
22-Oct,"28,260.50","-6,591.40",-18.91%,"54,769"
22-Sep,"34,852.00",-129.9,-0.37%,"66,141"
22-Aug,"34,981.90","-4,199.40",-10.72%,"60,463"
22-Jul,"39,181.30",550,1.42%,"64,470"
22-Jun,"38,631.30","1,771.70",4.81%,"69,997"
22-May,"36,859.60","-8,231.10",-18.25%,"72,038"
22-Apr,"45,090.70","-1,655.00",-3.54%,"93,429"
22-Mar,"46,745.70","2,878.30",6.56%,"108,630"
22-Feb,"43,867.40","-1,125.50",-2.50%,"78,263"
22-Jan,"44,992.80","1,318.70",3.02%,"74,819"
21-Dec,"43,674.10","5,816.20",15.36%,"83,292"
21-Nov,"37,858.00","-5,158.50",-11.99%,"71,142"
21-Oct,"43,016.50","-8,123.20",-15.88%,"79,691"
21-Sep,"51,139.70","1,233.50",2.47%,"111,554"
21-Aug,"49,906.20","-3,567.80",-6.67%,"93,643"
21-Jul,"53,474.00","-1,486.60",-2.70%,"89,513"
21-Jun,"54,960.60","-3,313.40",-5.69%,"100,214"
21-May,"58,274.10","-16,342.30",-21.90%,"108,281"
21-Apr,"74,616.40","-10,540.80",-12.38%,"142,422"
21-Mar,"85,157.20","12,774.50",17.65%,"199,830"
21-Feb,"72,382.80","-5,334.70",-6.86%,"113,338"
21-Jan,"77,717.40","6,995.90",9.89%,"123,637"
20-Dec,"70,721.50","15,414.00",27.87%,"123,374"
20-Nov,"55,307.50","-7,648.80",-12.15%,"94,968"
20-Oct,"62,956.20","-12,587.10",-16.66%,"114,281"
20-Sep,"75,543.30","7,338.10",10.76%,"163,478"
20-Aug,"68,205.30","-8,073.90",-10.58%,"127,249"
20-Jul,"76,279.20","6,078.70",8.66%,"122,438"
20-Jun,"70,200.50","-9,898.80",-12.36%,"126,733"
20-May,"80,099.30","-28,415.30",-26.19%,"146,359"
20-Apr,"108,514.60","-11,363.30",-9.48%,"194,102"
20-Mar,"119,877.90","22,210.50",22.74%,"198,567"
20-Feb,"97,667.30","3,481.60",3.70%,"178,824"
20-Jan,"94,185.80","15,957.10",20.40%,"157,948"
19-Dec,"78,228.70","11,729.50",17.64%,"138,681"
19-Nov,"66,499.30",866.8,1.32%,"123,848"
19-Oct,"65,632.50","-12,290.30",-15.77%,"125,590"
19-Sep,"77,922.80","3,966.50",5.36%,"148,365"
19-Aug,"73,956.30","-3,454.80",-4.46%,"138,827"
19-Jul,"77,411.10",-648.3,-0.83%,"128,458"
19-Jun,"78,059.30","18,887.30",31.92%,"140,274"
19-May,"59,172.10","-2,179.40",-3.55%,"115,381"
19-Apr,"61,351.40","-8,236.60",-11.84%,"124,989"
19-Mar,"69,588.00","-3,409.60",-4.67%,"134,776"
19-Feb,"72,997.70","-6,178.10",-7.80%,"136,018"
19-Jan,"79,175.80","8,310.40",11.73%,"137,434"
18-Dec,"70,865.30","12,962.40",22.39%,"129,558"
18-Nov,"57,902.90","-4,525.70",-7.25%,"115,820"
18-Oct,"62,428.60","-11,248.20",-15.27%,"123,794"
18-Sep,"73,676.90",-139.5,-0.19%,"143,866"
18-Aug,"73,816.40","5,575.40",8.17%,"134,159"
18-Jul,"68,241.00","1,864.20",2.81%,"116,054"
18-Jun,"66,376.80","3,284.00",5.21%,"141,630"
18-May,"63,092.80","-1,170.60",-1.82%,"142,362"
18-Apr,"64,263.40","-18,848.80",-22.68%,"124,813"
18-Mar,"83,112.30","14,316.00",20.81%,"176,208"
18-Feb,"68,796.20","5,321.40",8.38%,"125,133"
18-Jan,"63,474.80","4,063.20",6.84%,"109,103"
17-Dec,"59,411.70","17,928.00",43.22%,"100,433"
17-Nov,"41,483.70","9,864.90",31.20%,"99,110"
17-Oct,"31,618.80","-4,830.10",-13.25%,"59,895"
17-Sep,"36,448.90","2,525.70",7.45%,"69,988"
17-Aug,"33,923.20","5,544.50",19.54%,"73,641"
17-Jul,"28,378.60","4,294.90",17.83%,"47,328"
17-Jun,"24,083.70",279.6,1.17%,"43,057"
17-May,"23,804.10","-1,171.90",-4.69%,"43,606"
17-Apr,"24,976.00","-1,103.70",-4.23%,"47,040"
17-Mar,"26,079.60","-4,488.60",-14.68%,"47,994"
17-Feb,"30,568.30","9,861.60",47.62%,"65,189"
17-Jan,"20,706.70","3,529.80",20.55%,"34,616"
16-Dec,"17,176.90","1,821.40",11.86%,"30,859"
16-Nov,"15,355.50","4,763.60",44.97%,"42,265"
16-Oct,"10,591.90",180.2,1.73%,"19,467"
16-Sep,"10,411.70","-3,559.50",-25.48%,"18,099"
16-Aug,"13,971.20","3,117.00",28.72%,"32,084"
16-Jul,"10,854.20","1,851.50",20.57%,"39,382"
16-Jun,"9,002.70","1,933.00",27.34%,"15,295"
16-May,"7,069.70",-573.9,-7.51%,"14,447"
16-Apr,"7,643.60","1,518.10",24.78%,"29,170"
16-Mar,"6,125.50","-3,138.00",-33.88%,"11,234"
16-Feb,"9,263.50",-980.8,-9.57%,"16,044"
16-Jan,"10,244.30","2,302.80",29.00%,"20,006"
15-Dec,"7,941.40",,,"18,130"
